PriceHub;TradeDate;WtdAvgPrice;Change;DailyVolumeMWh;NumberTrades;NumberCounterparties
ABC;4/29/2003;37.78;-3.42;8800;22;20
ABC;4/30/2003;37.87;0.08;7600;19;14
ABC;5/1/2003;35.77;-2.1;9600;12;14
ABC;5/2/2003;37.88;2.11;7600;19;20
ABC;5/5/2003;35.74;-2.14;9600;24;22
ABC;5/6/2003;38.08;2.34;10000;25;22
ABC;5/7/2003;36.92;-1.16;7600;19;19
ABC;5/8/2003;36.14;-0.78;12000;15;16
ABC;5/9/2003;41.08;4.94;10000;23;23
ABC;5/12/2003;41.97;0.89;8000;20;18
ABC;5/13/2003;44.47;2.5;9600;23;19
ABC;5/14/2003;48.61;4.14;10400;26;16
ABC;5/15/2003;45.95;-2.66;28000;35;20
ABC;5/16/2003;50.29;4.34;7200;17;16
ABC;5/19/2003;56.56;6.27;8400;21;21
ABC;5/20/2003;60.5;3.94;20000;25;19
ABC;5/21/2003;52.79;-7.71;14400;18;16
ABC;5/23/2003;66.12;13.33;7600;19;15
ABC;5/27/2003;63.47;-2.64;15200;38;22
ABC;5/28/2003;64.87;1.4;10800;27;22
ABC;5/29/2003;67.61;2.73;30400;38;24
